name,time,delta_volume,total_accumulated_volume,total_pulse_count
water_meter,1620934529642394999,0,0,3018429
water_meter,1620934829729163082,0,0,3018429
water_meter,1620935129812176866,0,0,3018429
water_meter,1620935429923177969,0,0,3018429
water_meter,1620935730074537976,0,0,3018429
water_meter,1620936030131057658,0,0,3018429
water_meter,1620936330222771975,0,0,3018429
water_meter,1620936630332001938,0,0,3018429
water_meter,1620936930453809171,0,0,3018429
water_meter,1620937230585908153,0,0,3018429
water_meter,1620937530703025842,0,0,3018429
water_meter,1620937830842027733,0,0,3018429
water_meter,1620938130995245393,0,0,3018429
water_meter,1620938431062520123,0,0,3018429
water_meter,1620938731193788740,0,0,3018429
water_meter,1620939031323340838,0,0,3018429
water_meter,1620939331452044150,0,0,3018429
water_meter,1620939631572192220,0,0,3018429
water_meter,1620939931702474152,0,0,3018429
water_meter,1620940231761839052,0,0,3018429
water_meter,1620940531902409708,0,0,3018429
water_meter,1620940832031982374,0,0,3018429
water_meter,1620941132088626312,0,0,3018429
water_meter,1620941432151591349,0,0,3018429
water_meter,1620941732214421435,0,0,3018429
water_meter,1620942032281606353,0,0,3018429
water_meter,1620942332322260969,0,0,3018429
water_meter,1620942632432291122,0,0,3018429
water_meter,1620942932546458084,0,0,3018429
water_meter,1620943232577737258,0,0,3018429
water_meter,1620943532702160095,0,0,3018429
water_meter,1620943832784766301,0,0,3018429
water_meter,1620944132837301830,0,0,3018429
water_meter,1620944432913778942,0,0,3018429
water_meter,1620945033648236190,0,0,3018429
water_meter,1620945333774038369,0,0,3018429
water_meter,1620945633903419211,0,0,3018429
water_meter,1620945933986024941,0,0,3018429
water_meter,1620946234117692148,0,0,3018429
water_meter,1620946534245976986,0,0,3018429
water_meter,1620946834381619923,0,0,3018429
water_meter,1620947134493341994,0,0,3018429
water_meter,1620947434651938006,0,0,3018429
water_meter,1620947734786710341,0,0,3018429
water_meter,1620948034913813320,0,0,3018429
water_meter,1620948334976958383,0,0,3018429
water_meter,1620948635046623615,0,0,3018429
water_meter,1620948935164460582,0,0,3018429
water_meter,1620949235298791992,0,0,3018429
water_meter,1620949535363394437,0,0,3018429
water_meter,1620949835482208183,0,0,3018429
water_meter,1620950135555577373,0,0,3018429
water_meter,1620950435687435759,0,0,3018429
water_meter,1620950735802678956,0,0,3018429
water_meter,1620951035932172392,0,0,3018429
water_meter,1620951336062224556,0,0,3018429
water_meter,1620951636201886326,0,0,3018429
water_meter,1620951936321043257,0,0,3018429
water_meter,1620952236475215563,0,0,3018429
water_meter,1620952536557382085,0,0,3018429
water_meter,1620952836593034438,0,0,3018429
water_meter,1620953136718554957,0,0,3018429
water_meter,1620953737565675017,0,0,3018429
water_meter,1620954037696893623,0,0,3018429
water_meter,1620954337823639276,0,0,3018429
water_meter,1620954637951166922,0,0,3018429
water_meter,1620954938101650798,0,0,3018429
water_meter,1620955238219642599,0,0,3018429
water_meter,1620955538351784547,0,0,3018429
water_meter,1620955838482742998,0,0,3018429
water_meter,1620956138613996135,0,0,3018429
water_meter,1620956438743582522,0,0,3018429
water_meter,1620956738874869320,0,0,3018429
water_meter,1620957039002760593,0,0,3018429
water_meter,1620957339074520909,0,0,3018429
water_meter,1620957639202509485,0,0,3018429
water_meter,1620957939326019477,0,0,3018429
water_meter,1620958239464881190,0,0,3018429
water_meter,1620958539562601389,0,0,3018429
water_meter,1620958839603109351,0,0,3018429
water_meter,1620959139733483954,0,0,3018429
water_meter,1620959439857949154,0,0,3018429
water_meter,1620959739926997123,0,0,3018429
water_meter,1620960039992605134,0,0,3018429
water_meter,1620960340103983643,0,0,3018429
water_meter,1620960640178249990,0,0,3018429
water_meter,1620960940224318610,0,0,3018429
water_meter,1620961240305342714,0,0,3018429
water_meter,1620961540403138142,0,0,3018429
water_meter,1620961840457109979,0,0,3018429
water_meter,1620962441427372247,0,0,3018429
water_meter,1620962741503174596,0,0,3018429
water_meter,1620963041545671465,0,0,3018429
water_meter,1620963341592921700,0,0,3018429
water_meter,1620963641686931672,0,0,3018429
water_meter,1620963941803787489,0,0,3018429
water_meter,1620964241832445010,0,0,3018429
water_meter,1620964541946157716,0,0,3018429
water_meter,1620964842044377538,0,0,3018429
water_meter,1620965142077294968,0,0,3018429
water_meter,1620965442124979908,0,0,3018429
water_meter,1620965742167069878,0,0,3018429
water_meter,1620966042304906810,0,0,3018429
water_meter,1620966342431674471,0,0,3018429
water_meter,1620966642533854761,0,0,3018429
water_meter,1620966942644278465,0,0,3018429
water_meter,1620967242753605049,0,0,3018429
water_meter,1620967542805583081,0,0,3018429
water_meter,1620967842912158509,0,0,3018429
water_meter,1620968143033338157,0,0,3018429
water_meter,1620968443093171573,0,0,3018429
water_meter,1620968743174671666,0,0,3018429
water_meter,1620969043292382093,0,0,3018429
water_meter,1620969343373525629,0,0,3018429
water_meter,1620969643472598419,0,0,3018429
water_meter,1620969943603058412,0,0,3018429
water_meter,1620970243652880748,0,0,3018429
water_meter,1620970543754136370,0,0,3018429
water_meter,1620970843842144487,0,0,3018429
water_meter,1620971143939775928,0,0,3018429
water_meter,1620971444032469388,0,0,3018429
water_meter,1620971744119966142,0,0,3018429
water_meter,1620972044203967425,0,0,3018429
water_meter,1620972344293152817,0,0,3018429
water_meter,1620972644403922275,0,0,3018429
water_meter,1620972944502882501,0,0,3018429
water_meter,1620973244613230102,0,0,3018429
water_meter,1620973544713187258,0,0,3018429
water_meter,1620973844792200584,0,0,3018429
water_meter,1620974144926461874,0,0,3018429
water_meter,1620974444981550880,0,0,3018429
water_meter,1620974745072740544,0,0,3018429
water_meter,1620975045173061529,0,0,3018429
water_meter,1620975345281910731,0,0,3018429
water_meter,1620975645312239138,0,0,3018429
water_meter,1620975945441512858,0,0,3018429
water_meter,1620976245611631341,0,0,3018429
water_meter,1620976545741155881,0,0,3018429
water_meter,1620976845815121650,0,0,3018429
water_meter,1620977145893473070,0,0,3018429
water_meter,1620977446021567907,0,0,3018429
water_meter,1620977746062110773,0,0,3018429
water_meter,1620978046194334795,0,0,3018429
water_meter,1620978346312335257,0,0,3018429
water_meter,1620978646433139143,0,0,3018429
water_meter,1620978946563312521,0,0,3018429
water_meter,1620979246651374251,0,0,3018429
water_meter,1620979546702724052,0,0,3018429
water_meter,1620979846832006840,0,0,3018429
water_meter,1620980146933096214,0,0,3018429
water_meter,1620980447041299263,0,0,3018429
water_meter,1620980747133412889,0,0,3018429
water_meter,1620981047193597026,0,0,3018429
water_meter,1620981347283259025,0,0,3018429
water_meter,1620981647421417379,0,0,3018429
water_meter,1620981947521540394,0,0,3018429
water_meter,1620982247611633693,0,0,3018429
water_meter,1620982547742516187,0,0,3018429
water_meter,1620982847803213679,0,0,3018429
water_meter,1620983147931227313,0,0,3018429
water_meter,1620983448033320445,0,0,3018429
water_meter,1620983748083274816,0,0,3018429
water_meter,1620984048123392033,0,0,3018429
water_meter,1620984649252336003,0,0,3018429
water_meter,1620984949385411256,0,0,3018429
water_meter,1620985249482122668,0,0,3018429
water_meter,1620985549523765694,0,0,3018429
water_meter,1620985849612829172,0,0,3018429
water_meter,1620986149737446240,0,0,3018429
water_meter,1620986449827022780,0,0,3018429
water_meter,1620986749886043427,0,0,3018429
water_meter,1620987049997273372,0,0,3018429
water_meter,1620987350035408859,0,0,3018429
water_meter,1620987650132224079,0,0,3018429
water_meter,1620987950192067479,0,0,3018429
water_meter,1620988250315167652,0,0,3018429
water_meter,1620988550361294569,0,0,3018429
water_meter,1620988850411109944,0,0,3018429
water_meter,1620989150511821154,0,0,3018429
water_meter,1620989450643846905,0,0,3018429
water_meter,1620989750721466465,0,0,3018429
water_meter,1620990050792479266,0,0,3018429
water_meter,1620990350878978315,0,0,3018429
water_meter,1620990651014283406,0,0,3018429
water_meter,1620990951132314752,0,0,3018429
water_meter,1620991251262206659,0,0,3018429
water_meter,1620991551371762344,0,0,3018429
water_meter,1620991851432083435,0,0,3018429
water_meter,1620992151482914877,0,0,3018429
water_meter,1620992451558498444,0,0,3018429
water_meter,1620992751603135947,0,0,3018429
water_meter,1620993051712797437,0,0,3018429
water_meter,1620993351804294142,0,0,3018429
water_meter,1620993651885923082,0,0,3018429
water_meter,1620993952005769990,0,0,3018429
water_meter,1620994252122705833,0,0,3018429
water_meter,1620994552191561391,0,0,3018429
water_meter,1620994852321638206,0,0,3018429
water_meter,1620995152457357174,0,0,3018429
water_meter,1620995452531786445,0,0,3018429
water_meter,1620995752662252053,0,0,3018429
water_meter,1620996052783844363,0,0,3018429
water_meter,1620996352892541539,0,0,3018429
water_meter,1620996653012273124,0,0,3018429
water_meter,1620996953121500730,0,0,3018429
water_meter,1620997253192577491,0,0,3018429
water_meter,1620997553271996032,0,0,3018429
water_meter,1620997853409072348,0,0,3018429
water_meter,1620998153455449169,0,0,3018429
water_meter,1620998453583052586,0,0,3018429
water_meter,1620998753721412589,0,0,3018429
water_meter,1620999053852224840,0,0,3018429
water_meter,1620999353982869916,0,0,3018429
water_meter,1620999654031464725,0,0,3018429
water_meter,1620999954163035860,0,0,3018429
water_meter,1621000254302391020,0,0,3018429
water_meter,1621000554401519943,0,0,3018429
water_meter,1621000854492365566,0,0,3018429
water_meter,1621001154581728453,0,0,3018429
water_meter,1621001454707722864,0,0,3018429
water_meter,1621001754765732544,0,0,3018429
water_meter,1621002054854873476,0,0,3018429
water_meter,1621002354984910095,0,0,3018429
water_meter,1621002655052268864,0,0,3018429
water_meter,1621002955130755869,0,0,3018429
water_meter,1621003255210765112,0,0,3018429
water_meter,1621003555281322995,0,0,3018429
water_meter,1621003855391091509,0,0,3018429
water_meter,1621004155491133063,0,0,3018429
water_meter,1621004455595935515,0,0,3018429
water_meter,1621004755671116329,0,0,3018429
water_meter,1621005055760757435,0,0,3018429
water_meter,1621005355842414301,0,0,3018429
water_meter,1621005655960816741,0,0,3018429
water_meter,1621005956072405364,0,0,3018429
water_meter,1621006256190487604,0,0,3018429
water_meter,1621006857033499403,0,0,3018429
water_meter,1621007157151664971,0,0,3018429
water_meter,1621007457272212249,0,0,3018429
water_meter,1621007757402265855,0,0,3018429
water_meter,1621008057501991484,0,0,3018429
water_meter,1621008357590692131,0,0,3018429
water_meter,1621008657651962650,0,0,3018429
water_meter,1621008957751662522,0,0,3018429
water_meter,1621009257896007804,0,0,3018429
water_meter,1621009557991190466,0,0,3018429
water_meter,1621009858111265635,0,0,3018429
water_meter,1621010158221315382,0,0,3018429
water_meter,1621010458282294103,0,0,3018429
water_meter,1621010758371688069,0,0,3018429
water_meter,1621011058461776904,0,0,3018429
water_meter,1621011358572113302,0,0,3018429
water_meter,1621011658662275664,0,0,3018429
water_meter,1621011958762711201,0,0,3018429
